id,fecha_hora,comuna_id,comuna,ingreso_promedio_hogar,paradero_id,codigo_paradero,latitud,longitud,recorrido_id,recorrido,empresa_operadora,capacidad_pasajeros,tiempo_promedio_viaje,flujo_pasajeros,velocidad_promedio
1,2025-01-01 00:00:00,5,La Florida,1100000.0,5,LF105,-33.52,-70.58,1,210,Metbus,120,34.45,330,37.25
2,2025-01-01 01:00:00,7,Providencia,2200000.0,7,PR107,-33.43,-70.61,3,506,Redbus,110,32.06,605,34.96
3,2025-01-01 02:00:00,5,La Florida,1100000.0,5,LF105,-33.52,-70.58,6,Metro L1,Metro,1000,20.34,1143,50.43
4,2025-01-01 03:00:00,7,Providencia,2200000.0,7,PR107,-33.43,-70.61,7,Metro L4,Metro,1000,19.56,1302,49.79
5,2025-01-01 04:00:00,1,Puente Alto,850000.0,1,PA101,-33.6111,-70.5755,8,Metro L5,Metro,1000,16.01,265,53.94
6,2025-01-01 05:00:00,4,Pudahuel,900000.0,4,PD104,-33.44,-70.74,3,506,Redbus,110,43.19,879,32.67
7,2025-01-01 06:00:00,2,Maipu,950000.0,2,MA102,-33.51,-70.76,2,405,STP,100,34.23,374,36.88
8,2025-01-01 07:00:00,7,Providencia,2200000.0,7,PR107,-33.43,-70.61,8,Metro L5,Metro,1000,29.75,3505,40.98
9,2025-01-01 08:00:00,6,Santiago,1400000.0,6,ST106,-33.45,-70.6667,6,Metro L1,Metro,1000,28.93,3084,42.66
10,2025-01-01 09:00:00,6,Santiago,1400000.0,6,ST106,-33.45,-70.6667,6,Metro L1,Metro,1000,29.73,3995,39.02
11,2025-01-01 10:00:00,3,San Bernardo,800000.0,3,SB103,-33.59,-70.7,10,Metro L3,Metro,1000,19.7,978,51.09
12,2025-01-01 11:00:00,2,Maipu,950000.0,2,MA102,-33.51,-70.76,1,210,Metbus,120,42.39,1032,31.4
13,2025-01-01 12:00:00,4,Pudahuel,900000.0,4,PD104,-33.44,-70.74,1,210,Metbus,120,39.43,793,33.39
14,2025-01-01 13:00:00,2,Maipu,950000.0,2,MA102,-33.51,-70.76,1,210,Metbus,120,43.43,1024,31.47
15,2025-01-01 14:00:00,1,Puente Alto,850000.0,1,PA101,-33.6111,-70.5755,10,Metro L3,Metro,1000,16.88,486,53.06
16,2025-01-01 15:00:00,3,San Bernardo,800000.0,3,SB103,-33.59,-70.7,9,Metro L6,Metro,1000,21.51,1164,50.34
17,2025-01-01 16:00:00,1,Puente Alto,850000.0,1,PA101,-33.6111,-70.5755,2,405,STP,100,28.72,261,37.83
18,2025-01-01 17:00:00,3,San Bernardo,800000.0,3,SB103,-33.59,-70.7,3,506,Redbus,110,66.6,2644,17.97
19,2025-01-01 18:00:00,5,La Florida,1100000.0,5,LF105,-33.52,-70.58,5,712,Metbus,120,56.26,1710,25.75
20,2025-01-01 19:00:00,6,Santiago,1400000.0,6,ST106,-33.45,-70.6667,9,Metro L6,Metro,1000,28.11,3193,42.23
21,2025-01-01 20:00:00,4,Pudahuel,900000.0,4,PD104,-33.44,-70.74,5,712,Metbus,120,46.21,1496,27.53
22,2025-01-01 21:00:00,2,Maipu,950000.0,2,MA102,-33.51,-70.76,6,Metro L1,Metro,1000,19.39,882,51.47
23,2025-01-01 22:00:00,5,La Florida,1100000.0,5,LF105,-33.52,-70.58,1,210,Metbus,120,29.91,306,37.45
24,2025-01-01 23:00:00,3,San Bernardo,800000.0,3,SB103,-33.59,-70.7,4,301,Vule,115,38.68,630,34.75
25,2025-01-02 00:00:00,1,Puente Alto,850000.0,1,PA101,-33.6111,-70.5755,3,506,Redbus,110,38.71,647,34.61
26,2025-01-02 01:00:00,5,La Florida,1100000.0,5,LF105,-33.52,-70.58,1,210,Metbus,120,30.41,312,37.4
27,2025-01-02 02:00:00,5,La Florida,1100000.0,5,LF105,-33.52,-70.58,2,405,STP,100,32.13,627,34.77
28,2025-01-02 03:00:00,3,San Bernardo,800000.0,3,SB103,-33.59,-70.7,9,Metro L6,Metro,1000,18.13,955,51.18
29,2025-01-02 04:00:00,1,Puente Alto,850000.0,1,PA101,-33.6111,-70.5755,2,405,STP,100,37.41,946,32.12
30,2025-01-02 05:00:00,3,San Bernardo,800000.0,3,SB103,-33.59,-70.7,4,301,Vule,115,39.14,623,34.81
31,2025-01-02 06:00:00,7,Providencia,2200000.0,7,PR107,-33.43,-70.61,7,Metro L4,Metro,1000,17.41,1028,50.89
