nombre_comuna,periodo_horario,tipo_dia,subidas_promedio,total_viajes_registrados,desviacion_subidas
Florida,07:30:00,Domingo,23.788553259141494,629,25.380696235031575
Florida,07:30:00,Laboral,22.9952,625,23.511351104716017
Florida,07:30:00,Sabado,24.436416184971097,692,24.161845821568907
Florida,08:00:00,Domingo,23.019138755980862,627,25.112646227250302
Florida,08:00:00,Laboral,26.39171974522293,628,25.899315446135432
Florida,08:00:00,Sabado,24.7601246105919,642,23.826042045367725
Florida,12:00:00,Domingo,23.379527559055116,635,24.784036719572967
Florida,12:00:00,Laboral,23.352409638554217,664,23.17627174206649
Florida,12:00:00,Sabado,23.877777777777776,540,23.956513374987644
Florida,18:30:00,Domingo,25.23968253968254,630,26.605246142736444
Florida,18:30:00,Laboral,25.7655737704918,610,24.743195878485157
Florida,18:30:00,Sabado,24.26511627906977,645,23.76436032400471
Las Condes,07:30:00,Domingo,24.048973143759873,633,25.391226240341407
Las Condes,07:30:00,Laboral,23.984974958263773,599,24.832174645335204
Las Condes,07:30:00,Sabado,24.87227414330218,642,24.365506118772668
Las Condes,08:00:00,Domingo,25.28501628664495,614,25.740489371156464
Las Condes,08:00:00,Laboral,24.532894736842106,608,24.428874740683128
Las Condes,08:00:00,Sabado,23.869712351945854,591,24.852819907904724
Las Condes,12:00:00,Domingo,27.135,600,27.37887469624566
Las Condes,12:00:00,Laboral,24.292387543252595,578,25.94887609742602
Las Condes,12:00:00,Sabado,26.15432098765432,648,25.409553142133323
Las Condes,18:30:00,Domingo,26.014354066985646,627,27.074057434449934
Las Condes,18:30:00,Laboral,24.088365243004418,679,23.40734253373863
Las Condes,18:30:00,Sabado,25.786078098471986,589,26.468793261790132
Maipu,07:30:00,Domingo,24.626029654036245,607,24.102507597637395
Maipu,07:30:00,Laboral,24.799126637554586,687,25.608463646123777
Maipu,07:30:00,Sabado,23.91083916083916,572,25.31055630740951
Maipu,08:00:00,Domingo,24.863565891472867,645,24.590812611713844
Maipu,08:00:00,Laboral,24.287519747235386,633,23.137169100753024
Maipu,08:00:00,Sabado,25.30677966101695,590,27.00950825729922
Maipu,12:00:00,Domingo,23.153729071537292,657,23.133542369614087
Maipu,12:00:00,Laboral,25.330049261083744,609,25.668902061770765
Maipu,12:00:00,Sabado,25.778846153846153,624,26.30581601644206
Maipu,18:30:00,Domingo,23.871674491392803,639,24.52474527038484
Maipu,18:30:00,Laboral,24.521943573667713,638,25.676504380879038
Maipu,18:30:00,Sabado,24.489966555183948,598,23.06706556763837
Providencia,07:30:00,Domingo,23.943298969072163,582,23.0859029217141
Providencia,07:30:00,Laboral,22.414110429447852,652,23.055406121662458
Providencia,07:30:00,Sabado,24.730645161290322,620,23.65148192653859
Providencia,08:00:00,Domingo,25.73076923076923,572,28.116611641436076
Providencia,08:00:00,Laboral,24.727699530516432,639,24.993874475838382
Providencia,08:00:00,Sabado,23.09767441860465,645,23.93141229813387
Providencia,12:00:00,Domingo,26.106382978723403,611,28.35616812381745
Providencia,12:00:00,Laboral,25.24,600,25.634435312478594
Providencia,12:00:00,Sabado,25.33009708737864,618,25.04623472493532
Providencia,18:30:00,Domingo,22.82660687593423,669,23.803646829669386
Providencia,18:30:00,Laboral,25.091666666666665,600,25.56082007866816
Providencia,18:30:00,Sabado,23.921348314606742,623,24.21949289562535
Santiago,07:30:00,Domingo,25.68118195956454,643,26.91927595451701
Santiago,07:30:00,Laboral,25.398203592814372,668,26.9868666443666
Santiago,07:30:00,Sabado,24.48644578313253,664,23.561282951418725
Santiago,08:00:00,Domingo,23.58805031446541,636,22.514949335814958
Santiago,08:00:00,Laboral,23.77434312210201,647,24.27012120756862
Santiago,08:00:00,Sabado,23.071317829457364,645,22.021753762781444
Santiago,12:00:00,Domingo,25.073094867807153,643,25.614672967812705
Santiago,12:00:00,Laboral,25.32626427406199,613,26.13666780276332
Santiago,12:00:00,Sabado,22.930728241563056,563,23.94285524828338
Santiago,18:30:00,Domingo,23.40978593272171,654,24.214400224005484
Santiago,18:30:00,Laboral,23.716108452950557,627,24.391491056306513
Santiago,18:30:00,Sabado,24.81769911504425,565,24.989509253099097
